GEO_ID,NAME,S1501_C01_001E
25001,"Barnstable County, Massachusetts",14988
25003,"Berkshire County, Massachusetts",11556
25005,"Bristol County, Massachusetts",51635
25009,"Essex County, Massachusetts",73882
25011,"Franklin County, Massachusetts",4976
25013,"Hampden County, Massachusetts",45481
25015,"Hampshire County, Massachusetts",38743
25017,"Middlesex County, Massachusetts",157922
25021,"Norfolk County, Massachusetts",64570
25023,"Plymouth County, Massachusetts",46282
25025,"Suffolk County, Massachusetts",105167
25027,"Worcester County, Massachusetts",82099
