X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,GlobalID,CreationDate,Creator,EditDate,Editor
-77.3744948695475,38.9857189667736,"4863",HERNDON,HS,High School,9-12,700 BENNETT ST,BENNETT ST,"20170",https://herndonhs.fcps.edu/,"7033263100","1",2023_24,9b674461-4ae2-455e-866c-e682f19aec70,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1666081547493,38.9500538359469,"4864",LANGLEY,HS,High School,9-12,6520 GEORGETOWN PIKE,MCLEAN,"22101",https://langleyhs.fcps.edu/,"7032872700","1",2023_24,8919dab6-27c6-4da7-adf6-09366f485fd2,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3393396732027,38.9324610182111,"4865",SOUTH LAKES,HS,High School,9-12,11400 SOUTH LAKES DR,RESTON,"20191",https://southlakeshs.fcps.edu/,"7037154500","1",2023_24,82b68ab2-687e-4612-a5b3-7ffab98e8321,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2793566219839,38.8958672958213,"4866",MADISON,HS,High School,9-12,2500 JAMES MADISON DR,VIENNA,"22181",https://madisonhs.fcps.edu/,"7033192300","1",2023_24,e62f2d54-84a4-4507-8197-07605e243815,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2827078855903,38.8772503223128,"4867",OAKTON,HS,High School,9-12,2900 SUTTON RD,VIENNA,"22181",https://oaktonhs.fcps.edu/,"7039376100","1",2023_24,73586f13-5844-4b89-ad08-b5d7f698128b,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1852096570597,38.9232249733862,"4868",MCLEAN,HS,High School,9-12,1663 DAVIDSON RD,MCLEAN,"22101",https://mcleanhs.fcps.edu/,"7037145700","2",2023_24,bdc5970f-7684-4614-9e51-e42e2695685a,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2126907686091,38.9060535571819,"4869",MARSHALL,HS,High School,9-12,7731 LEESBURG PIKE,FALLS CHURCH,"22043",https://marshallhs.fcps.edu/,"7037145400","5",2023_24,0b645e2c-1464-40ad-8895-e6c7e10fd20e,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2074285758601,38.8615189713137,"4870",FALLS CHURCH,HS,High School,9-12,7521 JAGUAR TRL,FALLS CHURCH,"22042",https://fallschurchhs.fcps.edu/,"7032074000","2",2023_24,41356af1-1a23-471a-a80a-8b6bf8dfc096,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1497497136314,38.856879013634,"4871",JUSTICE,HS,High School,9-12,3301 PEACE VALLEY LN,FALLS CHURCH,"22044",https://justicehs.fcps.edu/,"7038243900","2",2023_24,cbeb35af-5442-48a0-9d1f-8d4f65b09c0b,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2081613132819,38.8220196142111,"4872",ANNANDALE,HS,High School,9-12,4700 MEDFORD DR,ANNANDALE,"22003",https://annandalehs.fcps.edu/,"7036424100","6",2023_24,f5126540-76b1-4de1-9b92-1fa1ec84723c,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
