X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,GlobalID,CreationDate,Creator,EditDate,Editor,MS_points
-77.3918167398866,38.9681865978826,"4837",HERNDON,MS,Middle School,7-8,901 LOCUST ST,HERNDON,"20170",https://herndonms.fcps.edu/,"7033263100","1",2023_24,c35d581b-2c9a-4358-9976-764b6f9f868d,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1920694363943,38.9522992140347,"4838",COOPER,MS,Middle School,7-8,977 BALLS HILL RD,MCLEAN,"22101",https://cooperms.fcps.edu/,"7034425800","1",2023_24,294c2601-4e2c-4c09-ba96-88c2aa24ad30,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.3388422999656,38.9353286334411,"4839",HUGHES,MS,Middle School,7-8,11401 RIDGE HEIGHTS RD,RESTON,"20191",https://hughesms.fcps.edu/,"7037153600","1",2023_24,8ebc79e7-7b97-4a9a-a4f6-7c0e41082b6c,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1747078908509,38.9096681021373,"4840",LONGFELLOW,MS,Middle School,7-8,2000 WESTMORELAND ST,FALLS CHURCH,"22043",https://longfellowms.fcps.edu/,"7035332600","2",2023_24,ddf800da-e426-4251-b0c3-92d14ee4a58a,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2251536271612,38.90402451049,"4841",KILMER,MS,Middle School,7-8,8100 WOLFTRAP RD,VIENNA,"22182",https://kilmerms.fcps.edu/,"7038468800","5",2023_24,419c0543-24a0-4ca9-ad7c-90fe23892651,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2405466151609,38.888739381348,"4842",THOREAU,MS,Middle School,7-8,2505 CEDAR LN,VIENNA,"22180",https://thoreaums.fcps.edu/,"7038468000","5",2023_24,ef0a323e-77b7-4e95-96ac-817af217fa75,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2291278384534,38.8682954481453,"4843",JACKSON,MS,Middle School,7-8,3020 GALLOWS RD,FALLS CHURCH,"22042",https://jacksonms.fcps.edu/,"7032048100","2",2023_24,e599c609-01a3-486a-a5d9-67bb28985c68,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1409839317864,38.837636808692,"4844",GLASGOW,MS,Middle School,6-8,4101 FAIRFAX PKWY,ALEXANDRIA,"22312",https://glasgowms.fcps.edu/,"7038138700","2",2023_24,c8536faa-6a9d-4cfe-9fd4-5ea97d6b72c9,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1866628149131,38.8204946895095,"4845",POE,MS,Middle School,6-8,7000 CINDY LN,ANNANDALE,"22003",https://poems.fcps.edu/,"7038133800","6",2023_24,a494d9db-69df-49c5-a070-ec3d397743af,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1633244500938,38.8152438084491,"4846",HOLMES,MS,Middle School,6-8,6525 MONTROSE ST,ALEXANDRIA,"22312",https://holmesms.fcps.edu/,"7036585900","6",2023_24,d7672da2-afba-4411-87f8-adcef10010a8,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1140024073172,38.7902445454138,"4847",TWAIN,MS,Middle School,7-8,4700 FRANCONIA RD,ALEXANDRIA,"22310",https://twainms.fcps.edu/,"7033133700","3",2023_24,129412d4-1d69-4606-9766-338682fd1ac6,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1617578984587,38.7803824351401,"4848",KEY,MS,Middle School,7-8,6402 FRANCONIA RD,SPRINGFIELD,"22150",https://keyms.fcps.edu/,"7033133900","6",2023_24,d7975472-446a-4864-ba3c-d8cdc4bc43c7,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
