GEO_ID,NAME,S1701_C01_001E
Geography,Geographic Area Name,Estimate!!Total!!Population for whom poverty status is determined
0100000US,United States,325521470
0400000US51,Virginia,8442437
0500000US51003,"Albemarle County, Virginia",107119
0500000US51013,"Arlington County, Virginia",231549
0500000US51015,"Augusta County, Virginia",74872
0500000US51019,"Bedford County, Virginia",80041
0500000US51041,"Chesterfield County, Virginia",372794
0500000US51059,"Fairfax County, Virginia",1127335
0500000US51061,"Fauquier County, Virginia",74184
0500000US51069,"Frederick County, Virginia",93870
0500000US51085,"Hanover County, Virginia",110493
0500000US51087,"Henrico County, Virginia",329554
0500000US51095,"James City County, Virginia",80295
0500000US51107,"Loudoun County, Virginia",429978
0500000US51121,"Montgomery County, Virginia",87154
0500000US51153,"Prince William County, Virginia",481669
0500000US51161,"Roanoke County, Virginia",94576
0500000US51165,"Rockingham County, Virginia",83158
0500000US51177,"Spotsylvania County, Virginia",145597
0500000US51179,"Stafford County, Virginia",159190
0500000US51199,"York County, Virginia",70191
0500000US51510,"Alexandria city, Virginia",154495
0500000US51550,"Chesapeake city, Virginia",248443
0500000US51650,"Hampton city, Virginia",134874
0500000US51680,"Lynchburg city, Virginia",68830
0500000US51700,"Newport News city, Virginia",177415
0500000US51710,"Norfolk city, Virginia",216007
0500000US51740,"Portsmouth city, Virginia",94510
0500000US51760,"Richmond city, Virginia",218414
0500000US51770,"Roanoke city, Virginia",96230
0500000US51800,"Suffolk city, Virginia",97025
0500000US51810,"Virginia Beach city, Virginia",447930
